"y","x1","x2"
0,-460,0
0,-358,0
0,-351,0
0,-479,0
0,-916,0
0,-318,0
0,-51,0
0,-2,0
0,-631,0
0,-5,0
0,-480,0
0,-961,0
0,-1195,0
0,-1096,0
0,-309,0
0,-107,0
0,-1044,0
0,-726,0
0,-475,0
0,-556,0
0,-1174,0
0,-352,0
0,-774,0
0,-450,0
0,-680,0
0,-1197,0
0,-964,0
0,-224,0
0,-424,0
0,-613,0
0,-365,0
0,-538,0
0,-860,0
0,-282,0
0,-219,0
0,-488,0
0,-11,0
0,-1162,0
0,-232,0
0,-417,0
0,-853,0
0,-918,0
0,-84,0
0,-362,0
0,-265,0
0,-598,0
0,-413,0
0,-1087,0
0,-309,0
0,-109,0
0,-439,0
0,-1090,0
0,-1152,0
0,-203,0
0,-392,0
0,-603,0
0,-859,0
0,-839,0
0,-337,0
0,-345,0
0,-187,0
0,-352,0
0,-1168,0
0,-942,0
0,-16,0
0,-587,0
0,-916,0
0,-446,0
0,-907,0
0,-625,0
0,-460,0
0,-484,0
0,-1066,0
0,-1173,0
0,-777,0
0,-990,0
0,-793,0
0,-574,0
0,-2,0
0,-496,0
0,-440,0
0,-681,0
0,-967,0
0,-569,0
0,-12,0
0,-727,0
0,-689,0
0,-1075,0
0,-669,0
0,-493,0
0,-252,0
0,-1134,0
0,-364,0
0,-375,0
0,-20,0
0,-808,0
0,-230,0
0,-879,0
0,-513,0
0,-83,0
0,-536,0
0,-609,0
0,-483,0
0,-1063,0
0,-1013,0
0,-581,0
0,-326,0
0,-1034,0
0,-151,0
0,-57,0
0,-235,0
0,-1090,0
0,-1058,0
0,-387,0
0,-528,0
0,-1181,0
0,-1026,0
0,-410,0
0,-298,0
0,-985,0
0,-720,0
0,-944,0
0,-701,0
0,-769,0
0,-665,0
0,-108,0
0,-1172,0
0,-684,0
0,-780,0
0,-1098,0
0,-1046,0
0,-475,0
0,-1121,0
0,-1173,0
0,-293,0
0,-966,0
0,-364,0
0,-365,0
0,-155,0
0,-402,0
0,-477,0
0,-869,0
0,-1128,0
0,-52,0
0,-983,0
0,-163,0
0,-277,0
0,-1024,0
0,-751,0
0,-868,0
0,-566,0
0,-91,0
0,-841,0
0,-632,0
0,-143,0
0,-565,0
0,-549,0
0,-882,0
0,-348,0
0,-208,0
0,-1090,0
0,-1002,0
0,-472,0
0,-348,0
0,-1202,0
0,-976,0
0,-681,0
0,-190,0
0,-1181,0
0,-1158,0
0,-864,0
0,-409,0
0,-247,0
0,-823,0
0,-283,0
0,-486,0
0,-796,0
0,-753,0
0,-522,0
0,-1118,0
0,-772,0
0,-314,0
0,-942,0
0,-375,0
0,-369,0
0,-1035,0
0,-139,0
0,-1028,0
0,-1194,0
0,-599,0
0,-113,0
0,-392,0
0,-1013,0
0,-524,0
0,-839,0
0,-992,0
0,-359,0
0,-331,0
0,-376,0
0,-393,0
1,1,450
1,1,122
1,1,828
1,1,337
1,1,449
1,1,1081
1,1,981
1,1,632
1,1,696
1,1,657
1,1,700
1,1,176
1,1,822
1,1,1058
1,1,162
1,1,414
1,1,425
1,1,354
1,1,939
1,1,1027
1,1,208
1,1,295
1,1,211
1,1,376
1,1,663
1,1,355
1,1,854
1,1,122
1,1,534
1,1,322
1,1,768
1,1,737
1,1,1035
1,1,630
1,1,356
1,1,232
1,1,40
1,1,543
1,1,318
1,1,232
1,1,503
1,1,1194
1,1,1066
1,1,713
1,1,739
1,1,513
1,1,781
1,1,823
1,1,568
1,1,307
1,1,549
1,1,196
1,1,1025
1,1,545
1,1,222
1,1,575
1,1,521
1,1,913
1,1,137
1,1,418
1,1,622
1,1,549
1,1,301
1,1,644
1,1,345
1,1,1137
1,1,609
1,1,895
1,1,4
1,1,104
1,1,1124
1,1,120
1,1,285
1,1,344
1,1,821
1,1,105
1,1,486
1,1,164
1,1,712
1,1,351
1,1,772
1,1,173
1,1,768
1,1,529
1,1,375
1,1,983
1,1,196
1,1,839
1,1,638
1,1,1131
1,1,335
1,1,80
1,1,543
1,1,933
1,1,927
1,1,540
1,1,682
1,1,190
1,1,790
1,1,531
1,1,951
1,1,821
1,1,759
1,1,898
1,1,162
1,1,90
1,1,788
1,1,999
1,1,363
1,1,1170
1,1,670
1,1,395
1,1,439
1,1,483
1,1,47
1,1,714
1,1,270
1,1,493
1,1,1138
1,1,356
1,1,721
1,1,83
1,1,693
1,1,948
1,1,386
1,1,672
1,1,134
1,1,617
1,1,173
1,1,1004
1,1,798
1,1,591
1,1,820
1,1,959
1,1,1087
1,1,257
1,1,60
1,1,724
1,1,761
1,1,815
1,1,703
1,1,330
1,1,1087
1,1,715
1,1,333
1,1,817
1,1,436
1,1,748
1,1,778
1,1,290
1,1,263
1,1,578
1,1,1016
1,1,1085
1,1,1181
1,1,423
1,1,236
1,1,899
1,1,273
1,1,23
1,1,698
1,1,234
1,1,1039
1,1,685
1,1,609
1,1,562
1,1,800
1,1,715
1,1,368
1,1,1093
1,1,946
1,1,279
1,1,10
1,1,1074
1,1,850
1,1,832
1,1,228
1,1,206
1,1,958
1,1,742
1,1,688
1,1,1044
1,1,627
1,1,210
1,1,754
1,1,1090
1,1,964
1,1,506
1,1,1059
1,1,271
1,1,400
1,1,271
1,1,68
1,1,352
1,1,1184
1,1,229
1,1,92
1,1,797
1,1,522
1,1,15
