"y","x1","x2"
0,-831,0
0,-368,0
0,-280,0
0,-407,0
0,-106,0
0,-1032,0
0,-843,0
0,-361,0
0,-314,0
0,-832,0
0,-798,0
0,-972,0
0,-1188,0
0,-166,0
0,-410,0
0,-109,0
0,-921,0
0,-1126,0
0,-500,0
0,-552,0
0,-787,0
0,-564,0
0,-64,0
0,-264,0
0,-619,0
0,-716,0
0,-918,0
0,-332,0
0,-194,0
0,-61,0
0,-735,0
0,-56,0
0,-982,0
0,-462,0
0,-629,0
0,-1074,0
0,-663,0
0,-450,0
0,-369,0
0,-124,0
0,-1105,0
0,-350,0
0,-211,0
0,-287,0
0,-870,0
0,-942,0
0,-573,0
0,-504,0
0,-72,0
0,-347,0
0,-360,0
0,-761,0
0,-1135,0
0,-597,0
0,-880,0
0,-274,0
0,-864,0
0,-770,0
0,-123,0
0,-447,0
0,-1184,0
0,-741,0
0,-208,0
0,-301,0
0,-666,0
0,-881,0
0,-46,0
0,-677,0
0,-457,0
0,-201,0
0,-1170,0
0,-1149,0
0,-588,0
0,-739,0
0,-1011,0
0,-577,0
0,-427,0
0,-646,0
0,-665,0
0,-100,0
0,-122,0
0,-593,0
0,-961,0
0,-974,0
0,-239,0
0,-667,0
0,-649,0
0,-442,0
0,-123,0
0,-761,0
0,-6,0
0,-1097,0
0,-772,0
0,-1014,0
0,-924,0
0,-332,0
0,-987,0
0,-47,0
0,-1004,0
0,-896,0
0,-995,0
0,-940,0
0,-703,0
0,-931,0
0,-868,0
0,-721,0
0,-766,0
0,-726,0
0,-26,0
0,-302,0
0,-839,0
0,-474,0
0,-1201,0
0,-410,0
0,-531,0
0,-811,0
0,-994,0
0,-547,0
0,-97,0
0,-10,0
0,-811,0
0,-537,0
0,-887,0
0,-899,0
0,-973,0
0,-773,0
0,-115,0
0,-498,0
0,-214,0
0,-891,0
0,-1019,0
0,-596,0
0,-493,0
0,-432,0
0,-690,0
0,-997,0
0,-142,0
0,-180,0
0,-376,0
0,-624,0
0,-561,0
0,-1181,0
0,-466,0
0,-213,0
0,-759,0
0,-887,0
0,-456,0
0,-954,0
0,-866,0
0,-656,0
0,-410,0
0,-124,0
0,-541,0
0,-418,0
0,-163,0
0,-482,0
0,-913,0
0,-290,0
0,-211,0
0,-242,0
0,-1130,0
0,-262,0
0,-437,0
0,-900,0
0,-101,0
0,-12,0
0,-1053,0
0,-985,0
0,-920,0
0,-329,0
0,-935,0
0,-304,0
0,-611,0
0,-712,0
0,-531,0
0,-739,0
0,-1179,0
0,-310,0
0,-258,0
0,-750,0
0,-70,0
0,-471,0
0,-791,0
0,-1184,0
0,-1103,0
0,-314,0
0,-1025,0
0,-413,0
0,-380,0
0,-969,0
0,-93,0
0,-1040,0
0,-70,0
0,-711,0
0,-792,0
0,-425,0
0,-559,0
0,-1045,0
0,-196,0
0,-541,0
0,-440,0
0,-330,0
0,-772,0
0,-927,0
0,-960,0
0,-1039,0
0,-856,0
0,-883,0
0,-838,0
0,-730,0
0,-678,0
0,-318,0
0,-740,0
0,-715,0
0,-823,0
0,-1026,0
0,-257,0
0,-682,0
0,-26,0
0,-179,0
0,-1130,0
0,-906,0
0,-1016,0
0,-227,0
0,-111,0
0,-866,0
0,-571,0
0,-813,0
0,-538,0
0,-684,0
0,-876,0
0,-44,0
0,-240,0
0,-941,0
0,-59,0
0,-521,0
0,-348,0
0,-352,0
0,-173,0
0,-401,0
0,-702,0
0,-467,0
0,-767,0
0,-1113,0
0,-155,0
0,-497,0
0,-949,0
0,-1202,0
0,-812,0
0,-281,0
0,-1084,0
0,-1070,0
0,-982,0
0,-1193,0
0,-1005,0
0,-923,0
0,-719,0
0,-13,0
0,-99,0
0,-785,0
0,-272,0
0,-1034,0
0,-186,0
0,-208,0
0,-628,0
0,-1029,0
0,-145,0
0,-1022,0
0,-359,0
0,-910,0
0,-960,0
0,-871,0
0,-195,0
0,-846,0
0,-1180,0
0,-635,0
0,-147,0
0,-918,0
0,-388,0
0,-422,0
0,-1062,0
0,-858,0
0,-138,0
0,-445,0
0,-1160,0
0,-1134,0
0,-1175,0
0,-422,0
0,-348,0
0,-1079,0
0,-346,0
0,-436,0
0,-609,0
0,-1008,0
0,-764,0
0,-830,0
0,-1167,0
0,-579,0
0,-623,0
0,-421,0
0,-271,0
0,-215,0
0,-905,0
0,-19,0
0,-476,0
0,-1095,0
0,-379,0
0,-108,0
0,-255,0
0,-518,0
0,-439,0
0,-774,0
0,-864,0
0,-48,0
0,-682,0
0,-806,0
0,-135,0
0,-696,0
0,-910,0
0,-1070,0
0,-759,0
0,-335,0
0,-232,0
0,-863,0
0,-145,0
0,-522,0
0,-105,0
0,-184,0
0,-864,0
0,-692,0
0,-172,0
0,-1166,0
0,-12,0
0,-341,0
0,-542,0
0,-255,0
0,-82,0
0,-942,0
0,-708,0
0,-868,0
0,-767,0
0,-590,0
0,-561,0
0,-772,0
0,-994,0
0,-760,0
0,-790,0
0,-446,0
0,-1068,0
0,-1051,0
0,-896,0
0,-8,0
0,-368,0
0,-849,0
0,-725,0
0,-920,0
0,-116,0
0,-79,0
0,-556,0
0,-658,0
0,-206,0
0,-623,0
0,-175,0
0,-271,0
0,-1045,0
0,-616,0
0,-736,0
0,-432,0
0,-920,0
0,-973,0
0,-962,0
0,-182,0
0,-195,0
0,-523,0
0,-58,0
0,-228,0
0,-734,0
0,-749,0
0,-1140,0
0,-1085,0
0,-581,0
0,-394,0
0,-489,0
0,-510,0
0,-721,0
0,-342,0
0,-1164,0
0,-556,0
0,-175,0
0,-898,0
0,-297,0
0,-719,0
0,-129,0
0,-616,0
0,-791,0
0,-284,0
0,-846,0
0,-847,0
0,-991,0
0,-852,0
0,-1123,0
0,-356,0
0,-451,0
0,-1127,0
0,-952,0
0,-334,0
0,-905,0
0,-893,0
0,-283,0
0,-494,0
0,-856,0
0,-527,0
0,-814,0
0,-944,0
0,-591,0
0,-1105,0
0,-1016,0
0,-219,0
0,-820,0
0,-485,0
0,-92,0
0,-586,0
0,-188,0
0,-827,0
0,-1046,0
0,-13,0
0,-753,0
0,-110,0
0,-145,0
0,-158,0
0,-1150,0
0,-86,0
0,-1202,0
0,-1076,0
0,-854,0
0,-700,0
0,-293,0
0,-856,0
0,-1095,0
0,-312,0
0,-981,0
0,-164,0
0,-923,0
0,-513,0
0,-1149,0
0,-280,0
0,-995,0
0,-264,0
0,-222,0
0,-447,0
0,-105,0
0,-428,0
0,-415,0
0,-857,0
0,-685,0
0,-87,0
0,-1050,0
0,-821,0
0,-684,0
0,-1156,0
0,-560,0
0,-158,0
0,-760,0
0,-572,0
0,-594,0
0,-27,0
0,-526,0
0,-448,0
0,-624,0
0,-894,0
0,-419,0
0,-312,0
0,-1102,0
0,-939,0
0,-410,0
0,-327,0
0,-981,0
0,-31,0
0,-822,0
0,-441,0
0,-408,0
0,-1171,0
0,-1151,0
0,-942,0
0,-48,0
0,-57,0
0,-639,0
0,-906,0
0,-106,0
0,-761,0
0,-428,0
0,-996,0
0,-686,0
0,-83,0
0,-388,0
0,-650,0
0,-81,0
0,-315,0
0,-1090,0
0,-626,0
0,-825,0
0,-885,0
0,-1177,0
0,-78,0
0,-396,0
0,-158,0
0,-1108,0
0,-1066,0
0,-736,0
0,-185,0
0,-230,0
0,-527,0
0,-801,0
0,-1036,0
0,-292,0
0,-1023,0
0,-1107,0
0,-416,0
0,-95,0
0,-791,0
0,-811,0
0,-314,0
0,-978,0
0,-62,0
0,-757,0
0,-537,0
0,-823,0
0,-376,0
0,-1046,0
0,-782,0
0,-571,0
0,-159,0
0,-312,0
0,-642,0
0,-1045,0
0,-365,0
0,-626,0
0,-326,0
0,-170,0
0,-197,0
0,-611,0
0,-583,0
0,-33,0
0,-610,0
0,-830,0
0,-27,0
0,-790,0
0,-126,0
0,-461,0
0,-539,0
0,-582,0
0,-376,0
0,-520,0
0,-684,0
0,-252,0
0,-509,0
0,-1003,0
0,-1160,0
0,-284,0
0,-348,0
0,-779,0
0,-139,0
0,-137,0
0,-217,0
0,-802,0
0,-731,0
0,-148,0
0,-406,0
0,-1120,0
0,-1056,0
0,-928,0
0,-134,0
0,-775,0
0,-1168,0
0,-422,0
0,-647,0
0,-256,0
0,-486,0
