X  Y  Class
6.125 4.125 53
5.625 5.125 46
7.375 0.125 57
3.875 6.875 31
4.375 0.125 33
4.125 1.625 34
2.375 6.375 23
5.375 3.625 44
5.625 2.375 43
5.375 0.875 41
5.125 5.375 46
6.125 3.375 52
2.875 5.375 22
7.375 3.125 60
0.125 2.625 3
2.125 0.375 17
7.125 1.375 58
0.875 3.375 4
1.375 1.875 10
1.625 6.375 15
4.375 2.625 35
0.375 1.375 2
3.625 7.625 32
3.125 7.625 32
7.625 7.375 64
0.375 2.125 3
0.875 5.625 6
6.375 3.125 52
5.125 4.125 45
2.625 3.125 20
3.125 5.375 30
0.875 6.375 7
5.125 2.375 43
6.625 7.125 56
7.625 4.625 61
2.375 1.125 18
2.625 5.625 22
5.125 1.875 42
6.875 6.375 55
5.125 0.375 41
1.875 0.125 9
3.875 4.375 29
3.625 5.125 30
1.625 7.125 16
7.375 3.375 60
2.875 6.125 23
7.375 3.625 60
5.875 6.375 47
3.375 2.125 27
6.125 7.625 56
6.625 6.125 55
4.125 7.625 40
7.875 3.125 60
5.625 4.875 45
4.625 0.625 33
3.625 1.875 26
1.875 3.125 12
7.875 0.375 57
7.875 5.625 62
6.375 7.625 56
2.125 5.625 22
2.625 2.125 19
6.125 1.125 50
0.375 6.125 7
2.375 5.625 22
6.625 1.625 50
7.875 7.375 64
2.625 6.625 23
2.375 5.375 22
4.125 5.125 38
4.125 3.125 36
4.875 2.125 35
6.625 4.875 53
0.125 5.625 6
1.375 5.625 14
1.625 4.875 13
3.375 0.125 25
1.625 0.125 9
1.125 4.375 13
5.875 3.875 44
7.625 2.625 59
1.375 1.125 10
4.625 6.875 39
3.625 2.125 27
7.125 1.625 58
6.375 5.125 54
0.375 0.875 1
2.875 6.375 23
6.625 3.625 52
7.625 5.125 62
5.375 1.875 42
5.875 2.125 43
0.875 2.375 3
6.375 3.375 52
3.375 1.875 26
3.375 1.125 26
0.625 4.875 5
6.875 3.125 52
4.625 6.625 39
1.625 2.375 11
3.875 2.125 27
2.125 5.375 22
3.625 0.375 25
5.375 0.125 41
3.625 2.875 27
5.125 1.375 42
1.375 4.375 13
7.125 5.125 62
7.625 1.125 58
5.375 0.625 41
7.875 2.375 59
6.125 4.375 53
7.875 4.125 61
4.375 3.875 36
1.625 0.625 9
5.125 7.375 48
6.375 0.125 49
0.375 3.125 4
6.125 1.625 50
1.875 6.375 15
