"","x"
"1",5.38257579319179
"2",35.5818211566657
"3",13.6714484542608
"4",-44.6603083517402
"5",-74.6965466998518
"6",-37.9336938727647
"7",-36.8742662481964
"8",28.2987950369716
"9",42.8109843283892
"10",-32.0629969704896
"11",-8.52971444837749
"12",-28.6197329405695
"13",0.920942006632686
"14",47.0397704280913
"15",-47.4649348761886
"16",-39.3034695647657
"17",-71.7532053589821
"18",72.8334039915353
"19",-88.075930159539
"20",-1.70028591528535
"21",19.0429727546871
"22",70.6886630039662
"23",-36.6628497373313
"24",-99.0311460569501
"25",34.4037431757897
"26",70.5963133368641
"27",-75.6094810552895
"28",82.9405292868614
"29",-98.693473637104
"30",49.0001866128296
"31",21.3653942104429
"32",81.8454557098448
"33",91.9189109001309
"34",12.4946878757328
"35",4.66071497648954
"36",78.7100593093783
"37",15.576341515407
"38",49.5292409323156
"39",-83.7312066461891
"40",-68.2755147106946
"41",56.0849204193801
"42",90.6422407366335
"43",72.2173217684031
"44",-66.9644196052104
"45",90.5007574241608
"46",44.3556755315512
"47",30.5015604011714
"48",78.351710177958
"49",-74.7922241687775
"50",71.6714102309197
"51",62.6627949997783
"52",-36.8325034156442
"53",22.9734743945301
"54",-33.5512397345155
"55",19.6239953860641
"56",-29.4498607516289
"57",18.1155784521252
"58",49.8743921983987
"59",78.5242483951151
"60",-95.764245511964
"61",85.409260680899
"62",-40.2900457382202
"63",61.8803983088583
"64",-73.431108193472
"65",95.9325675386935
"66",-11.4657141733915
"67",-34.3341189436615
"68",5.90321896597743
"69",-7.54371946677566
"70",-18.5677309986204
"71",15.2416209224612
"72",-69.6890503168106
"73",97.9566863272339
"74",-5.77496271580458
"75",-96.5539566706866
"76",-15.7154149841517
"77",-99.7104626148939
"78",-58.9676952920854
"79",37.0900449343026
"80",15.7885412219912
"81",26.0287030600011
"82",57.3999184649438
"83",6.41162279061973
"84",-47.7735407650471
"85",21.7450152616948
"86",97.1976734232157
"87",-74.3120805360377
"88",-18.797562783584
"89",-11.0720448661596
"90",35.3335015941411
"91",64.1037495806813
"92",3.33300540223718
"93",-88.2986675947905
"94",23.8801927305758
"95",-87.210454698652
"96",57.1751839946955
"97",39.589315187186
"98",79.1890344116837
"99",-38.6468005366623
"100",-48.0513079091907
"101",-45.6673017702997
"102",51.059062499553
"103",-18.7854378018528
"104",-4.55817086622119
"105",-13.5107614565641
"106",-45.8474456798285
"107",-63.4662569500506
"108",69.3117092829198
"109",-72.1858468838036
"110",23.4253042843193
"111",-65.8714958466589
"112",-34.8590804729611
"113",-4.67201378196478
"114",-53.6528660450131
"115",-43.593336455524
"116",49.2340573575348
"117",68.58936320059
"118",-99.9607136938721
"119",-59.160558367148
"120",28.6576010286808
"121",-52.4253441952169
"122",60.5594249907881
"123",-71.6432007495314
"124",-80.9597693383694
"125",51.1870119255036
"126",6.91828271374106
"127",34.1903963591903
"128",-94.8502570390701
"129",-39.2540261149406
"130",60.3780065197498
"131",73.6820500809699
"132",58.0524474382401
"133",-53.6091751419008
"134",47.7237378247082
"135",26.273026317358
"136",-97.7448233403265
"137",64.4045885186642
"138",10.4991353582591
"139",76.2218343559653
"140",46.9442646950483
"141",-53.5401068162173
"142",61.0832706093788
"143",-26.232521655038
"144",-15.1022191625088
"145",88.383704982698
"146",36.1983700189739
"147",-96.4403619989753
"148",2.15989369899035
"149",-58.6727455724031
"150",57.6994451694191
"151",30.6563061196357
"152",-53.4226249437779
"153",-76.4499858953059
"154",61.3978683948517
"155",-34.2287212144583
"156",-32.3799604550004
"157",7.12471306324005
"158",95.6798522733152
"159",26.840059645474
"160",53.3957783598453
"161",-55.7868122588843
"162",0.102721992880106
"163",87.42516040802
"164",-86.3644877914339
"165",59.3171742744744
"166",-44.0324870869517
"167",-94.0622348338366
"168",-28.0921844299883
"169",-4.71871164627373
"170",-99.6905080042779
"171",-80.1890309900045
"172",53.9641927462071
"173",66.8204995337874
"174",42.7384254522622
"175",13.6101205367595
"176",-88.0573963746428
"177",-15.2483648154885
"178",84.8701873794198
"179",-6.27366811968386
"180",51.5600848942995
"181",36.3576820585877
"182",20.7304609008133
"183",-53.8105549756438
"184",35.1298343855888
"185",-88.5417055804282
"186",-44.990688143298
"187",35.1635807193816
"188",89.0419840812683
"189",-13.386685308069
"190",-25.3731719683856
"191",-6.76002497784793
"192",-60.924616176635
"193",-93.3995634317398
"194",-43.1667011696845
