"","x"
"1",70.9035989828408
"2",98.8384254276752
"3",40.3223306406289
"4",71.7653030063957
"5",-0.691897701472044
"6",-44.4964671973139
"7",-4.34309025295079
"8",62.0668082498014
"9",-72.3984220530838
"10",-70.6514906603843
"11",-20.0182256288826
"12",-25.5062132142484
"13",47.4072948098183
"14",1.40214478597045
"15",-85.9800874255598
"16",94.127388112247
"17",-78.9557374548167
"18",-76.2173416092992
"19",38.6857803445309
"20",-51.2501034419984
"21",63.7796796392649
"22",-62.5206664204597
"23",77.4941781070083
"24",67.5975923426449
"25",97.1554155927151
"26",15.2304647024721
"27",10.7599167618901
"28",57.2322060354054
"29",-39.3076910171658
"30",74.1879158653319
"31",77.1174589637667
"32",-7.06693790853024
"33",-37.4309503939003
"34",-4.84630283899605
"35",-0.66980104893446
"36",33.8498660363257
"37",38.9036360662431
"38",-54.2716067284346
"39",2.72249788977206
"40",-90.3299474157393
"41",10.8448193408549
"42",-97.6683850865811
"43",4.46415557526052
"44",2.61662825942039
"45",-4.84421802684665
"46",31.8041806574911
"47",71.188906300813
"48",-35.3885347023606
"49",69.0584778785706
"50",-3.49206542596221
"51",87.4167715664953
"52",84.1179865878075
"53",-12.168700248003
"54",82.0467661134899
"55",7.13931163772941
"56",1.90753256902099
"57",23.3236918225884
"58",30.756307952106
"59",16.5516282897443
"60",-93.7328171916306
"61",91.4946646429598
"62",-33.3897162228823
"63",-37.5564916990697
"64",-96.711790189147
"65",39.1965549904853
"66",-7.20457495190203
"67",6.26779920421541
"68",-67.3005151096731
"69",-61.0397695563734
"70",-94.8545433115214
"71",-4.93970043025911
"72",-6.03462927974761
"73",5.89367621578276
"74",98.8388927187771
"75",-44.5268344599754
"76",-18.01811857149
"77",-49.2218624800444
"78",-50.044409558177
"79",64.7722102701664
"80",-16.4485957007855
"81",-10.5527719948441
"82",-62.175783701241
"83",2.87755755707622
"84",72.4319019820541
"85",83.9615505654365
"86",3.12340036034584
"87",68.4513313230127
"88",79.1850650217384
"89",-21.9346565660089
"90",89.8202661424875
"91",-51.8475629854947
"92",-43.0797698907554
"93",96.427272586152
"94",-52.498637419194
"95",-54.550543287769
"96",38.1330599542707
"97",-59.4987987540662
"98",-41.9224660843611
"99",-70.9597321227193
"100",62.7834125421941
"101",-76.1484992224723
"102",69.6389388758689
"103",-68.1226891465485
"104",-57.1892593521625
"105",47.8574859444052
"106",75.9826832916588
"107",-98.8590270280838
"108",-26.6802929807454
"109",-36.2688863649964
"110",-38.6463602073491
"111",-71.259360620752
"112",59.4142240937799
"113",53.0171625316143
"114",22.2587598487735
"115",-35.2653537411243
"116",-87.8932964988053
"117",-32.692268723622
"118",74.4349006097764
"119",37.1984917670488
"120",44.283012766391
"121",15.7938616815954
"122",-21.496171830222
"123",-63.011374277994
"124",-54.4606385286897
"125",-37.7655326854438
"126",86.1089010722935
"127",77.1501871757209
"128",21.9887933693826
"129",28.3785082865506
"130",-60.2909629698843
"131",51.0997814126313
"132",55.0782941281796
"133",-83.6786704603583
"134",-16.8356041423976
"135",-92.7680691704154
"136",-62.7379146870226
"137",-85.3492422495037
"138",45.7041075918823
"139",-34.8766086623073
"140",37.5463623553514
"141",-46.3261419441551
"142",64.8434352129698
"143",86.7354784626514
"144",24.7066847514361
"145",4.49153203517199
"146",-86.4194204099476
"147",82.3263803031296
"148",18.6125587206334
"149",-28.5921052098274
"150",5.76140382327139
"151",-96.7719898093492
"152",-8.19249888882041
"153",-33.8151185307652
"154",86.0558734741062
"155",-32.9082293435931
"156",-71.9911579973996
"157",67.1120842453092
"158",96.4135905727744
"159",2.62758769094944
"160",66.0452464595437
"161",-72.1368868369609
"162",-68.5329501517117
"163",-15.2972773648798
"164",-57.7287247404456
"165",-65.5112246982753
"166",42.3890108708292
"167",-24.7063246089965
"168",-44.8266448453069
"169",49.4291488546878
"170",-70.3259701374918
"171",-75.5993904080242
"172",7.45295202359557
"173",47.9441428557038
"174",-86.7043822538108
"175",27.0500915590674
"176",65.1163303293288
"177",52.5217938236892
"178",71.0359757300466
"179",-33.0765249207616
"180",1.86553029343486
"181",83.5031044669449
"182",-72.7518976666033
"183",80.0486335065216
"184",-87.2172937728465
"185",69.2931634839624
"186",-64.9916380178183
"187",3.33895711228251
"188",-63.815787807107
