Age,AgeA,AgeB,AgeC,AgeD,Ed,LowEd,HighEd,Wantsmore,MoreYes,MoreNo,CountNotusing,Using,Percentuse,UsingMultiClass,UsingBinom
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,1
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,1
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,1
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,1
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,1
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,1
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
<25,1,0,0,0,low,1,0,yes,1,0,53,6,0.113207547,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,1
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,1
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,1
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,1
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,1
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,1
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
40-49,0,0,0,1,low,1,0,yes,1,0,35,6,0.171428571,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,1
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,1
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,1
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,1
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,1
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,1
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,1
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,1
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,1
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
<25,1,0,0,0,high,0,1,no,0,1,50,10,0.2,Low,0
