"","D","E","F"
"1",-1285.51404885948,34548.969892785,-0.709989679977298
"2",-1675.90801578481,-61545.9160879254,-0.538338129408658
"3",-4477.07727057859,23208.0358546227,-0.38137707579881
"4",-810.492296027951,-35210.2451957762,-0.179058192297816
"5",-3999.69491816591,-57733.6702030152,0.0202168151736259
"6",-4548.21106381714,-71659.1231524944,0.981262880843133
"7",-2049.68443296384,84543.8711810857,0.0593997710384429
"8",-1699.85939881299,-51824.5791550726,0.712887839879841
"9",-3554.37586156186,78972.5122042,0.492080067750067
"10",-1623.66991036106,3473.08539785445,0.66862545022741
"11",-743.737396132201,-33995.5108240247,0.661611105781049
"12",46.8825303250924,27864.9697080255,-0.933314608410001
"13",-1542.93174298946,-42852.7164272964,0.72451476752758
"14",-3189.38261964358,83823.4898168594,0.297596754040569
"15",-2412.13413649239,-8069.93301957846,0.190357685089111
"16",-3199.82642573304,-72092.6340203732,0.47060476988554
"17",-4507.81793335918,-28901.6964379698,0.663489053025842
"18",-3243.83384981193,78770.0710818172,0.796758458483964
"19",-535.596102662385,-57010.4663260281,-0.141704204492271
"20",-2702.69382917322,36498.5138643533,-0.672598919365555
"21",-1039.3111085752,32744.2789450288,-0.250226232688874
"22",-666.448265686631,19477.0069792867,0.333762290421873
"23",-2100.89990163688,-90175.3067038953,0.00272035878151655
"24",-2351.85129749589,47870.6371504813,0.934786164201796
"25",-3413.87400946114,75389.9618983269,0.595369491260499
"26",-1002.9989983188,-96913.2531434298,0.553103961516172
"27",-4277.19576845411,53310.2849964052,-0.0220556822605431
"28",-2039.67939526774,-79044.2730300128,0.220656275749207
"29",-1816.3436564384,5768.8822504133,-0.707127077039331
"30",-4417.10358061828,-13761.4111881703,0.0134788672439754
"31",-3369.75304153748,66945.7613490522,-0.264390332158655
"32",-3227.38648105878,55332.0750128478,-0.227524869609624
"33",-182.598490500823,76950.2789247781,0.302324946504086
"34",-1084.31462901644,56762.9661876708,0.361126025207341
"35",-2529.53689745627,-81949.4999013841,0.784405618906021
"36",-2927.82853634562,90386.416297406,-0.394734178204089
"37",-2714.89211511798,-70934.7611293197,-0.580204354133457
"38",-1702.71299581509,69987.8652114421,-0.600704768672585
"39",-4064.54753207508,-10172.7987639606,0.491041735280305
"40",-3157.24947289564,20148.2987497002,-0.575173621531576
"41",-1277.20255178865,46083.6232174188,-0.647857537027448
"42",-1841.76574698649,-9699.01205971837,-0.0270006447099149
"43",-150.710480473936,80826.8310502172,0.204105504322797
"44",-1022.08728711121,95491.1453649402,0.223386452067643
"45",-2022.0076063415,13292.794348672,-0.450492286588997
"46",-483.345645526424,-94545.29392533,-0.964839325752109
