a,b,c,d,e,1e5
1373,1000,QPI60DNW7EI,0,sit amet diam eu dolor egestas rhoncus. Proin nisl sem,,1e5
846,999,UPB34HKD7JJ,0.5,Suspendisse non leo. Vivamus nibh dolor, nonummy ac, feugiat non,,1e5
1470,998,WEL48CBD7CH,1,Donec egestas. Duis ac arcu. Nunc mauris. Morbi non sapien,1e5
1968,997,CLH38CYY3KF,1.5,lacus. Quisque imperdiet, erat nonummy ultricies ornare, elit elit fermentum,1e5
1134,996,AEX98UDI2ZL,2,amet ornare lectus justo eu arcu. Morbi sit amet massa.,1e5
289,995,FKL43NYQ8VT,2.5,ornare, elit elit fermentum risus, at fringilla purus mauris a,1e5
1521,994,DFZ97ZCS9ZM,3,non, egestas a, dui. Cras pellentesque. Sed dictum. Proin eget,1e5
641,993,SCT02ZKR4TF,3.5,sed leo. Cras vehicula aliquet libero. Integer in magna. Phasellus,1e5
828,992,CGD89HCY2XY,4,amet massa. Quisque porttitor eros nec tellus. Nunc lectus pede,,1e5
1218,991,XHB05UCJ8II,4.5,tempus eu, ligula. Aenean euismod mauris eu elit. Nulla facilisi.,1e5
27,990,UZF13HLN1KU,5,nec tellus. Nunc lectus pede, ultrices a, auctor non, feugiat,1e5
717,989,ZFH27EOW1ER,5.5,orci tincidunt adipiscing. Mauris molestie pharetra nibh. Aliquam ornare, libero,1e5
1036,988,LQV66PQW8ZE,6,Phasellus ornare. Fusce mollis. Duis sit amet diam eu dolor,1e5
1034,987,JQH69GWH5QL,6.5,dolor vitae dolor. Donec fringilla. Donec feugiat metus sit amet,1e5
1065,986,QHE97QOP3EF,7,velit justo nec ante. Maecenas mi felis, adipiscing fringilla, porttitor,1e5
91,985,AYF24OXS2WZ,7.5,neque. Nullam ut nisi a odio semper cursus. Integer mollis.,1e5
324,984,OSP62GYK1SB,8,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices,1e5
687,983,JXO29OFE8RS,8.5,semper pretium neque. Morbi quis urna. Nunc quis arcu vel,1e5
788,982,YPJ07XTJ5ZQ,9,at, nisi. Cum sociis natoque penatibus et magnis dis parturient,1e5
820,981,UGL55VLD1KS,9.5,ac libero nec ligula consectetuer rhoncus. Nullam velit dui, semper,1e5
1152,980,NAH23FVT2PR,10,non, lobortis quis, pede. Suspendisse dui. Fusce diam nunc, ullamcorper,1e5
1940,979,GYO73JAU8PP,10.5,pharetra. Quisque ac libero nec ligula consectetuer rhoncus. Nullam velit,1e5
1477,978,STK03YBP1LU,11,feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aliquam,1e5
428,977,AOW95DXC8GL,11.5,semper erat, in consectetuer ipsum nunc id enim. Curabitur massa.,1e5
52,976,JNQ62JLQ4SO,12,convallis est, vitae sodales nisi magna sed dui. Fusce aliquam,,1e5
625,975,TXC71DHA0VD,12.5,feugiat. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Aliquam,1e5
1850,974,AFJ92SLW3RF,13,ultricies ornare, elit elit fermentum risus, at fringilla purus mauris,1e5
634,973,QNX18QAY3DB,13.5,bibendum fermentum metus. Aenean sed pede nec ante blandit viverra.,1e5
295,972,DMH13IJT2PL,14,lobortis, nisi nibh lacinia orci, consectetuer euismod est arcu ac,1e5
1019,971,VJS66JEO4AF,14.5,sit amet orci. Ut sagittis lobortis mauris. Suspendisse aliquet molestie,1e5
1945,970,OQA27DRB2BJ,15,nascetur ridiculus mus. Aenean eget magna. Suspendisse tristique neque venenatis,1e5
1657,969,QGG37BSM7JW,15.5,erat volutpat. Nulla facilisis. Suspendisse commodo tincidunt nibh. Phasellus nulla.,1e5
1934,968,IXD88RKV9EZ,16,imperdiet dictum magna. Ut tincidunt orci quis lectus. Nullam suscipit,,1e5
458,967,HRP94FFS5ZU,16.5,eu, ligula. Aenean euismod mauris eu elit. Nulla facilisi. Sed,1e5
949,966,NPI35QHR4CJ,17,purus. Nullam scelerisque neque sed sem egestas blandit. Nam nulla,1e5
1946,965,GBY82GNV1AB,17.5,Integer urna. Vivamus molestie dapibus ligula. Aliquam erat volutpat. Nulla,1e5
1496,964,OIN78AJD4WT,18,dis parturient montes, nascetur ridiculus mus. Donec dignissim magna a,1e5
