FollowerCount	FollowingCount
614689	400
739581	10723
3638	3341
613	1259
1352348	331
1010	1014
5922518	483
580544	2799
364	927
541611	2140
657021	4535
541611	2140
756715	12949
501043	3289
48711	22845
242529	7561
7360339	95
71597	44262
298668	551
185616	1001
16637	2588
2696	1718
146298	49266
54453	7688
3106	3232
627	1993
627	1993
96531	87
44	79
1682535	1015
676	243
508213	554
245591	266
3867	2059
143101	128686
154830	10613
489	473
2774790	20342
9450	1511
794	479
1611042	936
725	645
9450	1511
186557	90762
444	155
703	715
366460	466
4189	2094
628	921
163145	906
3914	1439
1367	539
9679	322
9450	1511
5751	909
16978	6715
103607	53468
221001	906
5501	5908
78083	679
6119	382
2470	357
4557	82
794	892
1205166	3329
592	193
638283	150
20	7
1611042	936
119001	119704
102116	293
697	14
462071	331717
254	534
245591	266
739581	10723
6375552	813
44034	2974
3892	4333
38	0
377	338
364	927
119001	119704
7147	737
3742349	58111
756715	12949
504004	3109
4760	425
103607	53468
513424	6
378	677
1294	431
1352348	331
2256591	735
3832	859
3166413	276
3302480	550744
2745543	7828
823481	2667
1097135	830
85138	67047
266407	1592
5996	906
598	600
119001	119704
5685	942
565	613
322682	37601
3893	1059
103607	53468
11147	1500
108768	57
570772	5390
3832	859
242529	7561
206818	15196
2260661	233
1682535	1015
1641075	695
11018	160
501043	3289
1607541	93
209	454
1720	540
480412	11948
66689	12069
130850	3394
44	79
1043	81
100836	144
245591	266
78731	6212
2759731	108731
221001	906
1043	81
3081505	119234
1404323	563
3914	1439
13373	1385
3166413	276
138235	780
631958	674
570772	5390
242529	7561
489	473
314	398
254	534
3200	3256
1682535	1015
541611	2140
7271	335
1221	313
1352348	331
580544	2799
3081505	119234
9093	672
132100	56571
1912232	33395
366460	466
33669	29327
454514	1479
655	562
1259676	337
3867	2059
14843	12352
37490	305
158467	154157
266407	1592
750	997
3638	3341
1010	1014
100836	144
28613	3557
1404323	563
67736	30523
3764	703
470926	322
48711	22845
182598	1402
488553	38857
7271	335
146298	49266
58090	6
103607	53468
71597	44262
823481	2667
209	454
314	398
45589	862
864557	7352
65264	956
34463	29808
228	302
10422587	147
24437	279
232753	320
16978	6715
196692	2339
2280149	373178
2774790	20342
117913	1299
132100	56571
10270	5625
638283	150
15002	1945
34463	29808
3867	2059
67736	30523
38	0
628	921
454514	1479
2651	2838
4189	2094
138235	780
23230	495
3892	4333
1525260	747
570772	5390
5922518	483
323	542
756715	12949
9450	1511
57840	27137
10167	900
266407	1592
1499	1709
8168488	76
335	469
125512	13701
1010	1014
38	0
671	215
95	120
119001	119704
146298	49266
100151	31383
627	1993
1445520	260
697	14
30426	1376
242529	7561
285735	276251
23230	495
58090	6
272	733
1634478	12567
219	148
92462	692
4491415	756
3042715	3811
1352348	331
2261838	1335
25195	1443
209	454
5501	5908
364	927
4760	425
281625	1118
725	645
138235	780
2470	357
804394	1370
125512	13701
203788	1069
21591	1179
5694566	389
203788	1069
224146	272
1040229	725
1682535	1015
3867	2059
236123	858
1205166	3329
598	600
871652	140
697	14
4363	221
5342840	33401
5151	2195
131920	364
146298	49266
366460	466
504004	3109
5922518	483
9679	322
125512	13701
2014	1943
245591	266
196692	2339
5501	5908
232753	320
3166413	276
454514	1479
867	413
78083	679
1512	769
756715	12949
6225470	381
242529	7561
131920	364
228	302
3742349	58111
127	106
697	14
92462	692
221001	906
44	79
1796718	284
58090	6
7147	737
92462	692
7944	566
20288	1568
232753	320
1140	927
580544	2799
889300	183
2403	1
49326	42259
480412	11948
335	469
5501	5908
1032	493
6225470	381
454514	1479
16978	6715
127	106
163145	906
889300	183
638283	150
49326	42259
444	155
182598	1402
4760	425
4491415	756
186557	90762
5941	1615
864557	7352
34463	29808
23453	135
282305	2114
1294	431
541611	2140
697	14
85138	67047
4363	221
2280149	373178
3638	3341
697	14
822	464
5342840	33401
100836	144
71410	11076
384	192
154830	10613
32342	2622
3166413	276
8168488	76
44	79
1525260	747
102116	293
1611042	936
1352348	331
16978	6715
100151	31383
23335	0
3867	2059
614689	400
9512	12
221001	906
30426	1376
285735	276251
4491415	756
23230	495
1481379	147521
480412	11948
756715	12949
232753	320
3892	4333
4189	2094
4368	547
26821	24787
92462	692
570772	5390
60	146
117913	1299
48711	22845
71597	44262
480412	11948
11427	1951
30426	1376
1043	81
565	613
565	613
45589	862
3914	1439
335	469
676	243
185616	1001
254	534
867	413
3195	3365
9093	672
4557	82
2843700	5337
513424	6
130878	5409
570772	5390
117913	1299
655	562
628	921
671	215
48777	858
3241	671
2696	1718
25195	1443
948551	75
867	413
54453	7688
504004	3109
95	120
25360	20872
6225470	381
209	454
127	36
6061284	24
100151	31383
561	477
163145	906
9450	1511
3525	3115
9679	322
245591	266
5151	2195
756715	12949
17842623	46964
3741	1635
48777	858
224146	272
1641075	695
163145	906
7157	73
73	58
92462	692
6232	551
119001	119704
3893	1059
1481379	147521
374	420
285735	276251
158467	154157
298668	551
9542820	2069
125512	13701
49326	42259
26821	24787
3832	859
1720	540
112	243
825	494
263614	759
1706188	402
5629637	51683
3741	1635
267	352
25360	20872
127	106
30426	1376
11850	1266
232753	320
513424	6
4321482	259
44027	113
254	341
47006	7814
254	534
4203	719
5922518	483
10422587	147
756715	12949
5922518	483
117913	1299
1140	927
480412	11948
7360339	95
21	193
2403	1
15385	673
513424	6
219	148
112	243
7147	737
405315	128127
405315	128127
488750	320
1834007	773
1040229	725
2931	3124
570772	5390
1682535	1015
723800	328
21591	1179
223	168
1040229	725
245591	266
100151	31383
83456	422
14843	12352
867	413
794	892
20288	1568
11018	160
364	927
615	679
628	921
60	146
127	36
513424	6
580544	2799
1271	1503
100836	144
356712	2070
1682535	1015
266407	1592
1259676	337
405315	128127
23230	495
55145	72
44034	2974
3893	1059
1259676	337
245591	266
404679	3866
119001	119704
565	613
823481	2667
138235	780
1674046	24246
627949	150866
25360	20872
14843	12352
1912232	33395
3171023	5171
405315	128127
1674046	24246
598	600
119001	119704
127	36
126738	779
60	146
148	398
794	479
2651	2838
28613	3557
2260661	233
272	733
4491415	756
1352348	331
1634478	12567
1641075	695
120772	468
3722	285
1209835	3
1257	318
454514	1479
3914	1439
1525260	747
3892	4333
364	927
3253	833
804394	1370
598	600
117913	1299
272	733
1525260	747
127	106
228	302
7055	1344
38	0
102116	293
131920	364
1205166	3329
3166413	276
1203	689
3540	1900
501043	3289
5751	909
3892	4333
682	289
5996	906
10793	592
488553	38857
1445520	260
41367	71
34463	29808
638283	150
10167	900
158467	154157
1043	81
739581	10723
48777	858
7360339	95
1682535	1015
828774	904
272	733
267	352
541611	2140
20542	635
794	892
5685	942
30426	1376
254	341
7157	73
591	401
6085071	67
2014	1943
2696	1718
127	106
154830	10613
128305	213
67736	30523
5685	942
298668	551
504004	3109
254	341
676	243
804394	1370
109	192
119001	119704
221001	906
266407	1592
1912232	33395
697	14
1433	249
889300	183
5751	909
9093	672
