1796,1000,MWD35LGZ0MY,0,C6G 8X7,3.14
365,999,MZV71NLK3SW,0.5,E7K 5G8,3.14
1623,998,FWH18JUC1SX,1,E9E 9A7,3.14
679,997,KBB23FZS7FN,1.5,43862,3.14
439,996,LIK12TID9FE,2,55758,3.14
61,995,VVS50GDN6ZE,2.5,15157,3.14
848,994,IAO22SYU3QJ,3,R2A 4U0,3.14
1335,993,XPG87CBJ2QB,3.5,91223,3.14
1985,992,FDH85MNS4YM,4,53182,3.14
1910,991,YIH29JXY4DF,4.5,14942,3.14
937,990,WUE37QYI0DE,5,B2P 4J5,3.14
1406,989,GND37YNE8XL,5.5,U3N 2Z1,3.14
232,988,HEG44HQC6ZR,6,F2L 6Y3,3.14
241,987,CGA55VTC9TG,6.5,B4I 5Y6,3.14
306,986,AGD75IXA9VK,7,Y7C 5G9,3.14
445,985,JWY69ZBH5ZX,7.5,01777,3.14
264,984,QTC41EKV2WC,8,C5A 1B9,3.14
52,983,CHO01FCI0VB,8.5,L8F 9Y3,3.14
661,982,TQE87HHU3IU,9,L1W 5G0,3.14
1254,981,PCL62WKL7JV,9.5,C4H 9F5,3.14
410,980,AWN82ZXB4EE,10,T3N 4M3,3.14
1669,979,XEE72GEP1JD,10.5,J1X 2F8,3.14
152,978,HJF44ZSA3FK,11,D6J 8W6,3.14
14,977,LUJ51TPC9VZ,11.5,13258,3.14
413,976,HVO42TPU1LQ,12,40586,3.14
1388,975,OHT40TMF0ST,12.5,80745,3.14
1893,974,FDS36JBB4OX,13,G5K 1Y4,3.14
1504,973,KRV14SAN4MA,13.5,S2B 1U4,3.14
214,972,WWR79XFK9DW,14,55460,3.14
306,971,RNO15XWT9XN,14.5,A4F 7C2,3.14
1214,970,HPM44DZB5RB,15,35251,3.14
385,969,JWD23MIT6ZV,15.5,51505,3.14
2040,968,FPB82COP6WC,16,04617,3.14
28,967,QBT30PGQ7TS,16.5,T9X 8U1,3.14
1845,966,ISO18JGH0KA,17,B1U 4D3,3.14
1308,965,TCK43DLH9FL,17.5,51479,3.14
1618,964,ZGU32VLJ5VM,18,42087,3.14
877,963,AES94DVZ3GS,18.5,A7O 8C8,3.14
1350,962,OEG36FWX2SQ,19,78372,3.14
1087,961,NFW79DVQ7RT,19.5,33756,3.14
797,960,TOH92YRA7AS,20,52140,3.14
237,959,OWT25NUV8NK,20.5,91021,3.14
628,958,DVI88AWK2BV,21,E4E 9Q6,3.14
913,957,LNG99UWC8BG,21.5,F1L 1Y4,3.14
1948,956,JSA10EPF1FX,22,64863,3.14
1195,955,MLK56NTU9VS,22.5,U1D 8H1,3.14
1955,954,WKB02PTR4JA,23,84341,3.14
1887,953,DXW96HTT4OA,23.5,48059,3.14
614,952,DSZ51AOY4YJ,24,85574,3.14
