1,rand1,25-Sep-12
2,rand2,25-Sep-12
3,rand3,25-Sep-12
4,rand4,25-Sep-12
5,rand4,25-Sep-12
6,rand5,25-Sep-12
7,rand5,25-Sep-12
8,rand6,25-Sep-12
9,rand7,25-Sep-12
10,rand8,25-Sep-12
11,rand9,25-Sep-12
12,rand10,25-Sep-12
13,rand11,25-Sep-12
14,rand11,25-Sep-12
15,rand12,25-Sep-12
16,rand13,25-Sep-12
17,rand14,25-Sep-12
18,rand14,25-Sep-12
19,rand15,25-Sep-12
20,rand16,25-Sep-12
21,rand13,25-Sep-12
22,rand17,25-Sep-12
23,rand16,25-Sep-12
24,rand18,25-Sep-12
25,rand19,25-Sep-12
26,rand20,25-Sep-12
27,rand21,25-Sep-12
28,rand21,25-Sep-12
29,rand21,25-Sep-12
30,rand21,25-Sep-12
31,rand22,25-Sep-12
32,rand23,25-Sep-12
33,rand24,25-Sep-12
34,rand24,25-Sep-12
35,rand25,25-Sep-12
36,rand26,25-Sep-12
37,rand27,25-Sep-12
38,rand4,25-Sep-12
39,rand4,25-Sep-12
40,rand4,25-Sep-12
41,rand4,25-Sep-12
42,rand4,25-Sep-12
43,rand5,25-Sep-12
44,rand28,25-Sep-12
45,rand29,25-Sep-12
46,rand9,25-Sep-12
47,rand30,25-Sep-12
48,rand31,25-Sep-12
49,rand32,25-Sep-12
50,rand16,25-Sep-12
51,rand33,25-Sep-12
52,rand33,25-Sep-12
53,rand34,25-Sep-12
54,rand35,25-Sep-12
55,rand36,25-Sep-12
56,rand37,25-Sep-12
57,rand20,25-Sep-12
58,rand38,25-Sep-12
59,rand21,25-Sep-12
60,rand33,25-Sep-12
61,rand21,25-Sep-12
62,rand21,25-Sep-12
63,rand39,25-Sep-12
64,rand40,25-Sep-12
65,rand24,25-Sep-12
66,rand41,25-Sep-12
67,rand42,25-Sep-12
68,rand43,25-Sep-12
69,rand44,25-Sep-12
70,rand45,25-Sep-12
71,rand21,25-Sep-12
72,rand33,25-Sep-12
73,rand46,25-Sep-12
74,rand4,25-Sep-12
75,rand16,25-Sep-12
76,rand16,25-Sep-12
77,rand47,25-Sep-12
78,rand14,25-Sep-12
79,rand47,25-Sep-12
80,rand16,25-Sep-12
81,rand16,25-Sep-12
82,rand16,25-Sep-12
83,rand16,25-Sep-12
84,rand16,25-Sep-12
85,rand16,25-Sep-12
86,rand16,25-Sep-12
87,rand4,25-Sep-12
88,rand4,25-Sep-12
89,rand48,25-Sep-12
90,rand29,25-Sep-12
91,rand9,25-Sep-12
92,rand49,25-Sep-12
93,rand50,25-Sep-12
94,rand16,25-Sep-12
95,rand16,25-Sep-12
96,rand16,25-Sep-12
97,rand44,25-Sep-12
98,rand37,25-Sep-12
99,rand51,25-Sep-12
100,rand4,25-Sep-12
101,rand52,25-Sep-12
102,rand53,25-Sep-12
103,rand16,25-Sep-12
104,rand16,25-Sep-12
105,rand54,25-Sep-12
106,rand54,25-Sep-12
107,rand55,25-Sep-12
108,rand56,25-Sep-12
109,rand4,25-Sep-12
110,rand56,25-Sep-12
111,rand57,25-Sep-12
112,rand57,25-Sep-12
113,rand57,25-Sep-12
114,rand57,25-Sep-12
115,rand58,25-Sep-12
116,rand58,25-Sep-12
117,rand59,25-Sep-12
118,rand9,25-Sep-12
119,rand4,25-Sep-12
120,rand60,25-Sep-12
121,rand4,25-Sep-12
122,rand61,25-Sep-12
123,rand61,25-Sep-12
124,rand62,25-Sep-12
125,rand63,25-Sep-12
126,rand64,25-Sep-12
127,rand65,25-Sep-12
