MonthlyDate,StateName,LossCode
7/1/2010,Utah,suit
3/1/2011,Utah,er-
3/1/2010,Idaho,nglhr
5/1/2010,Idaho,sui
6/1/2011,Idaho,obgor
3/1/2011,Idaho,obgor
4/1/2011,Idaho,pulhr
9/1/2010,Idaho,dc-
2/1/2011,Idaho,er-x
1/1/2011,Nebraska,pulhr
2/1/2011,Nebraska,revm
11/1/2010,Nebraska,emt
9/1/2011,Nebraska,flrf
6/1/2011,Nebraska,oth
5/1/2011,Nebraska,impay
8/1/2010,South Carolina,er-mt
3/1/2011,South Carolina,tort
7/1/2011,South Carolina,er-
11/1/2010,South Carolina,medh
7/1/2010,South Carolina,suit
8/1/2010,South Carolina,oth
1/1/2011,South Carolina,tort
6/1/2010,Nebraska,flron
2/1/2011,Nebraska,cheh
6/1/2011,Nebraska,dep
4/1/2011,Nebraska,emt
12/1/2010,Nebraska,dep
10/1/2010,Nebraska,tort
11/1/2010,Nebraska,surmp
9/1/2010,Puerto Rico,emt
9/1/2010,Puerto Rico,revm
3/1/2011,Puerto Rico,er-mt
8/1/2010,Puerto Rico,inf
2/1/2011,Puerto Rico,er-x
5/1/2011,Puerto Rico,sui
7/1/2010,Puerto Rico,carr
6/1/2010,Ohio,dep
5/1/2011,Ohio,accer
7/1/2011,Ohio,flr
8/1/2011,Ohio,suit
10/1/2010,Ohio,emt
12/1/2010,Ohio,oth
12/1/2010,Ohio,medlr
10/1/2010,Ohio,tort
5/1/2011,Ohio,suit
4/1/2011,Ohio,accer
4/1/2011,Ohio,pulhr
5/1/2011,Ohio,flrst
8/1/2010,Texas,pulb
5/1/2011,Texas,emt
3/1/2011,Texas,er-x
9/1/2011,Texas,accer
3/1/2011,Texas,medh
3/1/2011,Texas,medlr
3/1/2011,California,pulhr
9/1/2010,California,pulhr
5/1/2010,California,pulhr
9/1/2010,California,flrf
9/1/2010,California,accer
6/1/2011,California,nurf
10/1/2010,Utah,obgor
4/1/2010,Utah,er-
6/1/2010,Utah,medh
5/1/2010,Utah,nurf
10/1/2010,Utah,revm
1/1/2011,Utah,er-
12/1/2010,Utah,sui
3/1/2011,Utah,suit
9/1/2010,Utah,surmp
2/1/2011,Utah,tort
6/1/2011,Utah,flrf
6/1/2011,Utah,cheh
10/1/2010,Utah,medpa
12/1/2010,Utah,medh
2/1/2011,Utah,dc-
8/1/2011,Utah,dc-
4/1/2010,Utah,carr
5/1/2011,Utah,er-x
2/1/2010,Utah,er-x
2/1/2011,Utah,flr
8/1/2010,Utah,sui
12/1/2010,Utah,accer
3/1/2010,Utah,medpa
7/1/2010,Utah,pulhr
11/1/2010,Utah,nglhr
9/1/2010,Utah,accer
10/1/2010,Utah,emt
2/1/2011,Utah,hemn
6/1/2010,Utah,revm
3/1/2010,Utah,suit
8/1/2010,Utah,pulhr
7/1/2010,Utah,obgor
11/1/2010,Utah,carr
5/1/2010,Utah,dc-
11/1/2010,Utah,nurf
3/1/2011,Utah,obgor
7/1/2010,Utah,sui
9/1/2010,Utah,nglhr
4/1/2011,Utah,medh
5/1/2010,Utah,suit
8/1/2010,Utah,obgor
11/1/2010,Utah,impay
5/1/2011,Utah,obgor
3/1/2011,Utah,nglhr
3/1/2011,Utah,medlr
12/1/2010,Utah,flrf
10/1/2010,Utah,impay
11/1/2010,Utah,medh
5/1/2010,Utah,flron
8/1/2010,Utah,emt
6/1/2011,Utah,revm
2/1/2011,Utah,er-x
6/1/2010,Utah,sui
6/1/2011,Utah,surmp
10/1/2010,Utah,surmp
5/1/2010,Utah,cheh
11/1/2010,Utah,tort
7/1/2010,Utah,oth
7/1/2010,Utah,nglhr
9/1/2010,Utah,nurf
6/1/2010,Utah,medlr
7/1/2011,Utah,medpa
12/1/2010,Utah,inf
5/1/2010,Utah,er-ag
11/1/2010,Utah,obgor
6/1/2011,Utah,emt
10/1/2010,Utah,er-
7/1/2010,Utah,cheh
12/1/2010,Utah,flrst
10/1/2010,Utah,dep
5/1/2011,Utah,er-mt
10/1/2010,Utah,er-x
9/1/2010,Utah,emt
4/1/2011,Utah,flrf
12/1/2010,Utah,revm
4/1/2011,Utah,surmp
7/1/2010,Utah,revm
12/1/2010,Utah,dep
6/1/2010,Utah,flrst
5/1/2011,Utah,flron
6/1/2011,Utah,accer
9/1/2010,Utah,flrf
8/1/2011,Utah,dep
1/1/2011,Utah,er-mt
5/1/2010,Utah,emt
4/1/2010,Utah,medlr
10/1/2010,Utah,accer
12/1/2010,Utah,impay
2/1/2011,Utah,revm
8/1/2010,Utah,flron
11/1/2010,Utah,dc-
7/1/2011,Utah,flrst
6/1/2011,Utah,nurf
5/1/2011,Utah,nglhr
7/1/2011,Utah,nurf
8/1/2010,Utah,flr
4/1/2010,Utah,dc-
9/1/2010,Utah,flron
10/1/2010,Utah,carr
6/1/2010,Utah,flron
6/1/2010,Utah,oth
10/1/2010,Utah,sui
4/1/2010,Utah,obgor
8/1/2010,Utah,surmp
2/1/2011,Utah,medh
4/1/2011,Utah,suit
5/1/2011,Utah,flrst
9/1/2011,Utah,pulb
6/1/2010,Utah,tort
3/1/2011,Utah,revm
3/1/2011,Utah,er-ag
8/1/2010,Utah,medpa
6/1/2010,Utah,suit
8/1/2011,Utah,flrf
1/1/2011,Utah,flr
3/1/2011,Utah,flrf
5/1/2011,Utah,hemn
8/1/2010,Utah,dc-
8/1/2010,Utah,inf
5/1/2011,Utah,revm
7/1/2011,Utah,pulb
3/1/2011,Utah,oth
7/1/2011,Utah,obgor
9/1/2011,Utah,suit
7/1/2011,Utah,surmp
11/1/2010,Utah,suit
11/1/2010,Utah,hemn
11/1/2010,Utah,flrst
7/1/2011,Utah,accer
1/1/2011,Utah,sui
5/1/2011,Utah,medh
7/1/2011,Utah,cheh
3/1/2011,Utah,dep
8/1/2011,Utah,carr
8/1/2011,Utah,er-mt
4/1/2011,Utah,flron
2/1/2011,Utah,carr
9/1/2010,Utah,er-
10/1/2011,Utah,flron
10/1/2011,Utah,flrst
8/1/2011,Utah,impay
2/1/2011,Utah,inf
4/1/2011,Utah,medpa
4/1/2011,Utah,pulb
10/1/2010,Utah,oth
10/1/2011,Utah,oth
1/1/2011,Utah,flrf
3/1/2011,Utah,surmp
12/1/2010,Utah,medpa
10/1/2010,Utah,medlr
9/1/2011,Utah,inf
2/1/2011,Utah,surmp
9/1/2011,Utah,accer
3/1/2011,Utah,hemn
12/1/2010,Utah,emt
3/1/2011,Utah,tort
7/1/2011,Utah,inf
5/1/2011,Utah,medlr
1/1/2011,Utah,cheh
3/1/2011,Utah,medpa
9/1/2010,Utah,er-x
6/1/2011,Utah,pulb
1/1/2011,Utah,suit
8/1/2010,Utah,oth
8/1/2010,Utah,pulb
12/1/2010,Utah,oth
6/1/2011,Utah,hemn
10/1/2011,Utah,surmp
12/1/2010,Utah,cheh
8/1/2010,Utah,medlr
5/1/2011,Utah,tort
2/1/2011,Utah,pulhr
8/1/2011,Utah,revm
11/1/2011,Utah,sui
1/1/2011,Utah,tort
8/1/2010,Utah,medh
4/1/2011,Utah,medlr
9/1/2011,Utah,carr
11/1/2011,Utah,medpa
4/1/2011,Utah,nurf
6/1/2011,Utah,oth
10/1/2011,Utah,pulhr
10/1/2011,Utah,sui
8/1/2011,Utah,suit
11/1/2011,Utah,surmp
7/1/2011,Utah,tort
8/1/2011,Utah,obgor
10/1/2010,Utah,pulb
12/1/2010,Utah,pulhr
9/1/2011,Utah,sui
9/1/2011,Utah,surmp
10/1/2011,Utah,carr
10/1/2011,Utah,cheh
4/1/2011,Utah,dc-
4/1/2011,Utah,dep
10/1/2011,Utah,accer
11/1/2011,Utah,carr
7/1/2011,Utah,dc-
11/1/2010,Utah,dep
9/1/2011,Utah,emt
8/1/2010,Utah,er-ag
11/1/2010,Utah,er-x
9/1/2011,Utah,flr
11/1/2010,Utah,flron
9/1/2011,Utah,flrst
9/1/2010,Utah,hemn
8/1/2010,Utah,impay
9/1/2011,Utah,medh
9/1/2011,Utah,medlr
7/1/2011,Utah,nglhr
11/1/2011,Utah,obgor
11/1/2011,Utah,oth
9/1/2010,Utah,pulhr
6/1/2011,Utah,sui
10/1/2010,Utah,tort
3/1/2011,Utah,cheh
1/1/2011,Utah,dep
5/1/2011,Utah,emt
12/1/2010,Utah,er-ag
6/1/2011,Utah,er-mt
8/1/2011,Utah,flr
10/1/2011,Utah,flrf
10/1/2010,Utah,hemn
6/1/2011,Utah,inf
9/1/2010,Utah,medpa
11/1/2011,Utah,nglhr
1/1/2011,Utah,nurf
12/1/2010,Utah,obgor
