    housing influence contact satisfaction  n 
      tower       low     low          low 21
      tower       low     low       medium 21
      tower       low     low         high 28
      tower       low    high          low 14
      tower       low    high       medium 19
      tower       low    high         high 37
      tower    medium     low          low 34
      tower    medium     low       medium 22
      tower    medium     low         high 36
      tower    medium    high          low 17
      tower    medium    high       medium 23
      tower    medium    high         high 40
      tower      high     low          low 10
      tower      high     low       medium 11
      tower      high     low         high 36
      tower      high    high          low  3
      tower      high    high       medium  5
      tower      high    high         high 23
 apartments       low     low          low 61
 apartments       low     low       medium 23
 apartments       low     low         high 17
 apartments       low    high          low 78
 apartments       low    high       medium 46
 apartments       low    high         high 43
 apartments    medium     low          low 43
 apartments    medium     low       medium 35
 apartments    medium     low         high 40
 apartments    medium    high          low 48
 apartments    medium    high       medium 45
 apartments    medium    high         high 86
 apartments      high     low          low 26
 apartments      high     low       medium 18
 apartments      high     low         high 54
 apartments      high    high          low 15
 apartments      high    high       medium 25
 apartments      high    high         high 62
     atrium       low     low          low 13
     atrium       low     low       medium  9
     atrium       low     low         high 10
     atrium       low    high          low 20
     atrium       low    high       medium 23
     atrium       low    high         high 20
     atrium    medium     low          low  8
     atrium    medium     low       medium  8
     atrium    medium     low         high 12
     atrium    medium    high          low 10
     atrium    medium    high       medium 22
   atrium    medium    high         high 24
   atrium      high     low          low  6
   atrium      high     low       medium  7
   atrium      high     low         high  9
   atrium      high    high          low  7
   atrium      high    high       medium 10
   atrium      high    high         high 21
 terraced       low     low          low 18
 terraced       low     low       medium  6
 terraced       low     low         high  7
 terraced       low    high          low 57
 terraced       low    high       medium 23
 terraced       low    high         high 13
 terraced    medium     low          low 15
 terraced    medium     low       medium 13
 terraced    medium     low         high 13
 terraced    medium    high          low 31
 terraced    medium    high       medium 21
 terraced    medium    high         high 13
 terraced      high     low          low  7
 terraced      high     low       medium  5
 terraced      high     low         high 11
 terraced      high    high          low  5
 terraced      high    high       medium  6
 terraced      high    high         high 13
